pH,Soil EC (dS/m),Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Moisture (%),Temperature (°C),Crop
6.49,2.32,84.46,32.68,163.49,74.94,23.03,Bitter Gourd
5.91,2.0,87.62,45.87,129.6,70.31,27.87,Bitter Gourd
5.59,2.48,62.31,38.52,165.45,69.87,25.4,Bitter Gourd
6.37,2.31,75.24,57.81,154.66,77.03,22.04,Bitter Gourd
6.48,2.47,75.46,42.6,148.29,65.61,21.04,Bitter Gourd
6.13,2.16,76.54,36.07,143.07,71.06,26.19,Bitter Gourd
5.53,2.12,52.09,36.95,133.07,79.19,21.03,Bitter Gourd
5.75,2.29,65.12,47.02,136.2,71.93,20.89,Bitter Gourd
6.26,1.95,82.13,39.86,122.74,64.41,25.57,Bitter Gourd
6.27,2.04,61.3,34.66,165.62,63.46,25.32,Bitter Gourd
5.74,2.2,82.13,51.0,128.98,73.85,21.61,Bitter Gourd
6.43,1.79,87.03,57.66,143.12,69.78,24.22,Bitter Gourd
6.26,2.18,71.16,50.75,169.51,60.73,23.55,Bitter Gourd
5.53,1.91,64.02,55.81,129.05,73.76,20.45,Bitter Gourd
5.6,1.78,84.96,41.68,130.98,74.87,29.23,Bitter Gourd
5.74,2.0,54.58,57.23,161.66,61.08,26.21,Bitter Gourd
5.73,1.72,80.71,41.9,152.22,66.97,26.74,Bitter Gourd
6.36,1.99,85.11,42.55,127.61,63.83,27.83,Bitter Gourd
6.17,2.41,86.43,40.74,152.8,68.63,29.01,Bitter Gourd
5.57,2.27,75.79,46.18,138.04,62.41,24.0,Bitter Gourd
6.08,1.51,82.33,30.79,152.23,75.07,24.92,Bitter Gourd
6.08,2.45,85.35,34.13,152.56,75.69,27.98,Bitter Gourd
6.03,1.96,69.22,48.28,164.67,74.95,22.1,Bitter Gourd
5.61,2.43,51.37,42.77,134.39,73.55,24.03,Bitter Gourd
6.42,1.7,61.63,55.58,133.63,76.61,26.29,Bitter Gourd
6.43,1.65,59.17,41.31,135.12,76.57,24.67,Bitter Gourd
5.55,2.18,87.98,50.69,136.95,68.79,24.83,Bitter Gourd
5.58,1.73,77.0,44.34,120.26,61.59,24.33,Bitter Gourd
5.71,2.43,77.82,35.6,153.97,66.57,24.6,Bitter Gourd
6.32,1.91,82.97,33.12,166.55,67.42,21.48,Bitter Gourd
6.26,1.55,60.03,58.5,178.82,66.27,28.01,Bitter Gourd
6.46,2.02,57.25,41.4,126.54,67.46,26.81,Bitter Gourd
5.85,2.03,84.92,32.18,158.16,62.47,26.17,Bitter Gourd
6.03,1.87,72.85,54.93,126.96,77.39,22.85,Bitter Gourd
5.64,2.48,89.13,39.99,141.17,74.86,21.75,Bitter Gourd
6.15,1.81,86.42,33.25,145.03,70.55,27.49,Bitter Gourd
5.7,2.17,71.29,34.87,165.08,66.35,20.44,Bitter Gourd
5.6,1.52,75.52,41.46,157.56,69.51,22.69,Bitter Gourd
6.42,1.86,60.96,53.17,139.83,71.36,21.27,Bitter Gourd
6.28,2.21,83.06,47.05,156.26,66.89,25.55,Bitter Gourd
5.99,1.67,53.84,38.9,175.42,61.47,25.44,Bitter Gourd
6.28,2.43,58.34,36.6,142.59,77.42,23.99,Bitter Gourd
6.17,1.96,66.33,33.12,120.7,74.75,25.12,Bitter Gourd
5.68,2.2,74.01,42.86,161.47,60.94,26.22,Bitter Gourd
5.66,1.72,82.14,50.4,122.32,77.31,20.27,Bitter Gourd
6.15,1.95,76.55,45.78,127.78,79.18,24.3,Bitter Gourd
6.15,2.05,84.11,34.69,145.73,72.01,26.79,Bitter Gourd
5.9,1.58,86.52,46.02,133.8,71.02,20.37,Bitter Gourd
6.24,1.93,86.3,45.85,155.33,79.02,28.01,Bitter Gourd
5.55,2.02,69.68,47.22,163.34,60.69,23.24,Bitter Gourd
5.99,2.41,51.34,52.24,142.58,66.11,29.6,Bitter Gourd
6.49,2.06,85.3,40.56,176.45,67.01,24.86,Bitter Gourd
5.84,2.2,64.58,35.97,168.98,70.63,25.73,Bitter Gourd
5.65,2.36,81.05,49.5,144.32,74.24,24.88,Bitter Gourd
6.14,1.71,60.9,57.13,176.35,74.38,21.55,Bitter Gourd
5.97,1.65,74.0,58.32,168.52,77.8,26.2,Bitter Gourd
6.02,2.01,52.58,36.13,134.7,72.81,21.99,Bitter Gourd
6.4,1.91,73.05,48.95,141.61,79.49,23.61,Bitter Gourd
6.32,2.27,52.54,52.28,135.45,77.76,24.17,Bitter Gourd
5.89,1.82,68.67,35.43,170.81,76.71,23.88,Bitter Gourd
5.9,1.55,64.97,46.62,165.61,68.29,24.78,Bitter Gourd
6.15,1.6,54.45,50.77,153.53,73.41,27.7,Bitter Gourd
5.94,2.43,50.76,34.29,125.74,73.54,26.18,Bitter Gourd
6.29,1.51,68.88,55.22,176.61,79.32,27.3,Bitter Gourd
5.52,1.64,89.83,53.68,173.82,64.43,29.01,Bitter Gourd
5.63,2.36,62.25,44.52,160.85,73.17,28.51,Bitter Gourd
5.72,1.51,64.02,44.24,171.16,68.82,22.11,Bitter Gourd
6.37,2.48,84.06,58.63,121.02,75.68,26.54,Bitter Gourd
6.11,1.55,62.36,44.02,129.68,72.72,27.08,Bitter Gourd
6.33,2.47,74.85,47.76,167.56,72.78,28.43,Bitter Gourd
5.82,2.41,57.74,59.85,151.46,70.2,24.19,Bitter Gourd
6.41,2.24,65.13,45.03,120.31,78.43,20.37,Bitter Gourd
6.49,2.27,87.41,52.0,178.16,76.61,22.12,Bitter Gourd
5.64,2.31,70.49,33.56,173.14,75.31,23.55,Bitter Gourd
6.47,1.55,56.25,37.41,155.1,72.09,27.48,Bitter Gourd
6.44,1.63,77.84,58.59,164.04,69.6,28.91,Bitter Gourd
5.83,2.28,76.44,43.28,123.81,70.02,22.0,Bitter Gourd
5.71,1.94,84.69,56.16,172.96,79.2,29.1,Bitter Gourd
5.73,1.88,81.49,58.8,129.63,79.48,23.3,Bitter Gourd
6.17,1.87,65.42,43.63,121.51,71.0,25.53,Bitter Gourd
6.19,1.78,85.28,49.95,148.14,63.08,20.97,Bitter Gourd
5.68,2.46,61.45,33.46,151.04,74.05,23.2,Bitter Gourd
6.09,2.05,67.0,35.66,125.01,74.52,26.13,Bitter Gourd
5.79,2.2,76.87,34.56,164.91,65.88,25.06,Bitter Gourd
6.08,1.71,82.54,39.37,160.23,71.54,27.08,Bitter Gourd
6.27,1.98,88.84,38.02,170.37,71.57,24.87,Bitter Gourd
5.98,2.05,69.73,48.72,141.45,65.04,22.29,Bitter Gourd
6.16,1.69,66.24,45.08,157.35,71.36,23.57,Bitter Gourd
5.84,1.73,63.92,52.76,163.52,77.06,24.21,Bitter Gourd
5.54,1.8,50.84,42.07,134.66,71.78,24.92,Bitter Gourd
6.02,1.68,71.76,50.64,168.55,61.69,22.24,Bitter Gourd
6.34,2.03,65.26,37.11,133.13,68.69,24.12,Bitter Gourd
5.95,1.78,84.93,33.11,178.8,62.19,22.63,Bitter Gourd
6.18,1.95,86.64,44.8,132.51,69.65,26.22,Bitter Gourd
6.36,2.3,65.95,48.83,126.63,66.99,23.87,Bitter Gourd
5.82,2.05,63.29,43.06,123.65,79.4,20.8,Bitter Gourd
5.63,2.15,56.0,32.4,123.9,60.71,20.18,Bitter Gourd
5.61,2.18,72.07,39.1,164.64,64.5,20.15,Bitter Gourd
6.45,1.93,68.58,47.18,173.8,63.07,21.56,Bitter Gourd
5.63,2.1,77.03,59.55,165.39,78.01,27.55,Bitter Gourd
5.69,2.44,81.64,48.37,138.77,75.12,21.85,Bitter Gourd
5.73,1.71,58.73,52.96,142.41,65.33,22.14,Bitter Gourd
6.14,1.77,85.54,58.23,155.55,74.83,26.18,Bitter Gourd
5.86,1.79,55.6,55.83,166.5,65.78,29.12,Bitter Gourd
6.29,2.46,85.18,58.56,144.9,76.95,27.57,Bitter Gourd
5.6,1.75,51.61,57.28,146.64,78.58,29.75,Bitter Gourd
5.5,1.71,67.8,31.71,145.08,73.34,20.36,Bitter Gourd
5.81,2.02,65.78,38.59,130.42,71.27,20.52,Bitter Gourd
5.64,1.76,89.19,30.5,164.87,71.84,22.43,Bitter Gourd
6.47,1.9,62.71,50.03,122.14,76.14,20.69,Bitter Gourd
5.97,2.14,82.79,56.23,159.24,60.7,23.76,Bitter Gourd
5.96,2.04,56.37,58.87,164.59,72.4,28.74,Bitter Gourd
6.4,2.13,66.86,41.59,177.68,76.08,27.93,Bitter Gourd
5.64,1.9,88.44,54.65,143.05,76.2,24.81,Bitter Gourd
6.44,1.93,88.92,51.42,161.39,72.01,22.52,Bitter Gourd
6.11,2.2,80.98,54.06,129.16,76.65,28.97,Bitter Gourd
6.25,2.46,72.49,45.52,147.58,64.13,20.25,Bitter Gourd
6.17,2.43,52.59,37.4,175.16,76.88,23.26,Bitter Gourd
6.12,1.62,85.46,31.95,131.86,77.49,24.74,Bitter Gourd
6.29,2.03,61.24,39.72,170.6,68.08,24.81,Bitter Gourd
5.63,1.87,76.98,37.93,132.18,60.16,23.88,Bitter Gourd
5.58,2.27,70.84,47.79,130.64,66.73,20.21,Bitter Gourd
6.35,1.84,76.99,56.08,157.51,62.68,20.79,Bitter Gourd
6.19,1.67,86.28,39.41,145.24,72.11,21.07,Bitter Gourd
6.06,2.38,76.17,46.36,158.42,61.1,23.52,Bitter Gourd
6.11,2.2,65.01,47.63,174.98,79.4,28.02,Bitter Gourd
5.97,2.21,71.69,54.56,137.32,68.51,29.95,Bitter Gourd
5.54,2.23,87.92,49.91,126.31,75.37,23.09,Bitter Gourd
6.25,1.56,63.25,50.9,129.91,63.46,29.05,Bitter Gourd
6.4,2.25,55.73,36.55,167.08,67.94,29.11,Bitter Gourd
6.5,2.37,72.77,49.22,135.01,64.35,22.34,Bitter Gourd
6.2,2.28,74.65,49.4,159.2,60.81,26.83,Bitter Gourd
6.36,2.13,51.35,54.87,170.07,65.74,29.04,Bitter Gourd
5.51,2.38,80.17,31.61,170.69,68.97,22.39,Bitter Gourd
6.26,2.41,87.57,55.51,168.45,71.88,27.83,Bitter Gourd
6.34,1.78,57.7,55.47,164.7,70.88,21.96,Bitter Gourd
6.26,1.79,84.96,53.83,134.85,68.41,29.29,Bitter Gourd
6.3,1.54,52.84,31.2,134.26,62.31,20.23,Bitter Gourd
6.22,2.01,61.27,46.73,130.61,67.43,21.81,Bitter Gourd
6.42,1.61,69.11,48.51,134.99,60.61,22.2,Bitter Gourd
6.07,2.2,69.42,59.17,136.11,74.61,22.08,Bitter Gourd
5.92,1.77,55.0,51.99,145.76,70.93,21.29,Bitter Gourd
6.05,1.77,59.77,58.9,169.86,78.92,27.09,Bitter Gourd
6.13,1.97,81.18,52.79,149.39,67.9,21.22,Bitter Gourd
6.01,2.14,68.46,40.08,163.27,60.72,26.1,Bitter Gourd
5.55,2.15,78.19,54.66,165.6,64.5,22.52,Bitter Gourd
6.48,1.54,88.4,55.58,154.11,61.4,28.01,Bitter Gourd
6.12,2.39,86.04,58.85,170.54,68.28,24.18,Bitter Gourd
5.83,1.57,89.06,41.97,141.19,74.72,23.87,Bitter Gourd
6.31,1.64,54.88,52.47,125.15,71.89,26.46,Bitter Gourd
5.98,2.28,77.15,31.76,121.75,60.07,23.75,Bitter Gourd
5.55,2.2,63.44,43.01,129.06,67.73,23.32,Bitter Gourd
6.42,1.74,50.33,56.88,145.96,61.59,26.96,Bitter Gourd
5.65,1.92,87.08,48.21,162.37,63.43,28.22,Bitter Gourd
6.49,2.07,75.2,43.57,131.07,79.96,26.87,Bitter Gourd
6.27,1.51,76.72,30.29,140.83,65.26,24.12,Bitter Gourd
5.92,1.65,75.87,33.72,179.58,64.96,21.45,Bitter Gourd
5.58,1.82,86.87,30.76,147.23,75.1,24.52,Bitter Gourd
6.29,1.69,76.72,36.14,136.27,77.47,25.6,Bitter Gourd
5.72,2.41,72.19,51.74,154.53,63.62,28.07,Bitter Gourd
5.71,1.56,87.72,41.88,155.43,70.88,29.22,Bitter Gourd
5.87,1.79,78.66,52.49,168.47,62.27,25.63,Bitter Gourd
5.87,2.13,63.77,50.48,147.03,70.0,21.48,Bitter Gourd
5.56,2.1,66.34,32.97,132.04,72.41,26.91,Bitter Gourd
5.64,1.88,78.16,42.26,147.15,69.23,20.59,Bitter Gourd
6.15,1.71,53.67,47.37,173.56,67.94,21.37,Bitter Gourd
6.02,1.96,56.15,37.33,164.53,77.16,25.15,Bitter Gourd
6.47,1.83,56.27,44.64,131.7,65.7,29.04,Bitter Gourd
5.6,1.97,77.55,53.89,137.33,75.53,25.54,Bitter Gourd
6.22,1.63,76.7,37.29,147.59,74.8,22.58,Bitter Gourd
5.97,1.55,77.93,48.22,162.73,75.18,20.89,Bitter Gourd
5.96,2.2,53.56,41.6,158.96,66.83,22.76,Bitter Gourd
6.21,2.46,55.03,54.58,163.57,75.52,27.0,Bitter Gourd
5.84,2.44,70.89,46.99,136.21,78.14,20.2,Bitter Gourd
5.64,2.27,62.04,46.95,161.63,75.52,20.99,Bitter Gourd
5.53,2.15,78.3,58.21,151.27,63.81,24.24,Bitter Gourd
6.38,2.07,86.83,53.51,135.86,74.52,28.67,Bitter Gourd
6.11,2.31,63.56,53.53,178.18,75.57,21.99,Bitter Gourd
6.33,1.95,62.49,48.91,169.68,71.95,24.54,Bitter Gourd
6.31,1.58,69.14,46.3,148.93,60.97,21.44,Bitter Gourd
5.88,1.96,70.18,52.37,161.64,74.53,21.32,Bitter Gourd
6.48,2.39,55.05,45.79,121.91,61.17,25.67,Bitter Gourd
6.14,1.61,73.8,58.16,157.97,61.19,23.88,Bitter Gourd
5.8,1.73,68.47,35.23,157.46,70.73,21.22,Bitter Gourd
5.65,1.84,69.34,49.91,140.67,60.92,24.43,Bitter Gourd
6.36,1.8,85.95,31.97,151.88,71.79,28.72,Bitter Gourd
5.83,2.35,81.89,47.68,128.82,67.24,28.47,Bitter Gourd
6.36,2.47,86.12,35.9,173.36,72.89,27.28,Bitter Gourd
5.63,1.96,55.5,50.79,126.42,77.54,20.65,Bitter Gourd
5.62,1.6,64.33,31.07,174.4,75.08,25.03,Bitter Gourd
6.21,2.44,63.86,32.51,162.85,77.24,20.02,Bitter Gourd
5.82,2.27,59.98,31.61,177.48,60.51,27.69,Bitter Gourd
6.21,2.3,61.91,59.5,143.72,61.66,20.23,Bitter Gourd
5.58,2.39,82.13,51.85,163.03,79.53,29.92,Bitter Gourd
5.54,1.51,64.33,52.01,137.97,74.1,29.77,Bitter Gourd
6.46,1.79,64.11,56.6,176.33,63.83,29.68,Bitter Gourd
5.71,2.28,64.78,31.31,120.29,63.35,25.2,Bitter Gourd
6.01,2.43,78.19,36.36,149.2,63.36,29.54,Bitter Gourd
5.97,1.63,66.88,33.96,148.59,73.79,24.51,Bitter Gourd
5.79,2.06,87.8,44.34,177.67,76.36,26.39,Bitter Gourd
6.48,1.51,50.8,58.23,177.9,78.58,28.68,Bitter Gourd
6.28,2.25,73.73,34.12,134.53,61.78,28.74,Bitter Gourd
6.28,2.08,51.52,41.89,122.34,75.77,28.63,Bitter Gourd
5.51,2.34,57.05,58.87,169.71,75.18,20.68,Bitter Gourd
6.03,1.58,51.19,59.75,171.12,63.37,20.55,Bitter Gourd
5.65,2.31,82.98,39.07,146.27,60.86,24.97,Bitter Gourd
6.46,2.42,74.27,38.92,147.0,66.75,27.95,Bitter Gourd
5.93,2.5,57.59,33.54,163.28,74.59,23.39,Bitter Gourd
5.8,2.04,57.44,39.91,127.17,60.31,27.58,Bitter Gourd
6.11,1.79,65.62,33.27,165.48,66.12,21.26,Bitter Gourd
6.08,1.97,63.65,49.14,145.1,77.58,24.24,Bitter Gourd
6.22,1.87,60.05,39.24,168.56,79.65,20.24,Bitter Gourd
5.63,1.93,86.21,34.08,122.69,75.88,22.44,Bitter Gourd
6.32,2.11,70.47,45.41,167.07,66.66,20.5,Bitter Gourd
6.25,2.0,77.47,39.24,165.39,69.28,23.93,Bitter Gourd
6.13,2.07,69.4,44.55,129.37,77.88,23.55,Bitter Gourd
5.64,2.29,86.02,35.01,165.58,71.82,24.12,Bitter Gourd
6.19,2.06,59.78,44.96,175.95,66.42,27.46,Bitter Gourd
6.08,2.26,69.2,53.32,158.15,76.27,24.37,Bitter Gourd
6.13,2.23,66.75,58.83,147.54,73.36,28.24,Bitter Gourd
5.68,2.34,88.61,56.82,146.7,60.59,23.25,Bitter Gourd
5.56,1.75,65.41,36.51,132.29,69.15,20.07,Bitter Gourd
6.25,1.67,86.62,36.25,174.57,78.58,25.29,Bitter Gourd
5.56,2.1,76.04,30.23,127.74,79.03,29.09,Bitter Gourd
6.3,1.98,59.41,55.59,171.71,74.99,27.91,Bitter Gourd
5.85,2.36,52.5,51.62,174.48,68.33,25.98,Bitter Gourd
6.25,1.96,73.19,33.73,136.66,64.64,24.89,Bitter Gourd
6.49,2.07,50.98,42.53,152.24,71.36,29.61,Bitter Gourd
6.44,1.9,85.05,59.95,153.87,74.66,23.51,Bitter Gourd
5.66,1.69,85.8,47.51,153.22,64.38,24.67,Bitter Gourd
6.4,2.17,62.52,35.18,142.48,65.26,24.92,Bitter Gourd
5.99,2.0,70.98,32.88,168.28,79.21,25.92,Bitter Gourd
5.55,2.2,55.81,52.01,125.82,72.93,21.02,Bitter Gourd
6.34,2.2,56.65,58.24,136.32,72.01,27.13,Bitter Gourd
6.04,1.72,81.19,31.08,157.27,77.91,21.87,Bitter Gourd
5.59,2.05,73.03,53.64,148.52,79.24,25.8,Bitter Gourd
6.16,1.89,83.03,53.08,140.6,64.86,21.42,Bitter Gourd
6.04,2.04,77.63,53.82,120.36,63.49,20.39,Bitter Gourd
6.42,1.51,73.48,44.54,120.61,72.69,29.74,Bitter Gourd
6.48,1.83,84.01,43.1,170.24,67.26,29.09,Bitter Gourd
6.44,2.15,71.97,49.36,158.67,67.89,25.73,Bitter Gourd
6.05,2.29,88.79,49.92,153.07,60.33,26.12,Bitter Gourd
5.75,1.66,59.73,41.32,148.31,74.67,21.66,Bitter Gourd
5.58,2.19,77.02,45.62,134.4,76.45,29.55,Bitter Gourd
5.94,1.64,85.02,56.48,139.28,65.84,28.43,Bitter Gourd
5.54,1.8,84.22,57.33,134.69,77.93,23.36,Bitter Gourd
6.26,2.39,71.04,31.12,129.12,76.53,27.73,Bitter Gourd
6.2,1.52,89.62,45.03,168.27,65.19,24.24,Bitter Gourd
5.88,2.2,82.13,45.64,120.05,65.97,24.61,Bitter Gourd
6.4,2.39,84.0,36.37,123.06,67.54,29.72,Bitter Gourd
5.92,1.99,52.19,58.87,140.6,72.46,20.73,Bitter Gourd
5.67,2.49,52.99,37.85,147.9,78.78,21.74,Bitter Gourd
6.43,1.91,51.14,42.34,144.52,71.6,29.13,Bitter Gourd
6.03,1.91,51.62,41.83,149.44,66.52,21.27,Bitter Gourd
5.54,1.91,65.56,54.47,136.68,68.74,21.42,Bitter Gourd
6.44,1.76,71.27,30.44,147.22,69.59,26.5,Bitter Gourd
6.06,2.3,53.93,44.77,164.31,75.64,29.57,Bitter Gourd
6.36,2.08,88.19,34.98,147.34,62.0,23.0,Bitter Gourd
5.9,1.6,61.25,52.38,131.74,76.05,26.37,Bitter Gourd
6.43,1.64,70.05,37.94,131.04,65.62,24.88,Bitter Gourd
6.24,1.83,54.84,56.32,179.97,71.71,25.51,Bitter Gourd
6.46,1.93,65.3,36.05,136.42,71.82,23.36,Bitter Gourd
5.8,2.25,79.8,59.14,177.59,65.21,21.82,Bitter Gourd
5.84,2.02,79.59,57.91,154.5,70.86,25.35,Bitter Gourd
6.1,2.1,59.28,40.29,158.8,68.08,25.56,Bitter Gourd
6.46,2.1,71.14,37.95,138.48,66.69,22.76,Bitter Gourd
5.93,1.94,77.66,35.76,139.58,74.02,25.65,Bitter Gourd
6.02,2.46,76.71,39.97,175.17,79.83,20.61,Bitter Gourd
5.54,2.25,84.3,40.71,149.27,62.05,20.69,Bitter Gourd
5.79,2.22,60.57,53.33,132.31,69.4,27.76,Bitter Gourd
6.49,1.56,57.27,46.07,126.49,68.02,27.46,Bitter Gourd
6.08,1.66,62.33,59.08,143.06,63.99,21.83,Bitter Gourd
5.91,2.3,62.15,40.35,170.96,60.43,25.52,Bitter Gourd
5.75,1.91,68.43,46.23,128.49,67.89,28.22,Bitter Gourd
5.78,1.55,64.31,33.98,131.3,63.29,28.8,Bitter Gourd
6.27,1.63,85.05,48.29,125.5,72.45,20.18,Bitter Gourd
5.86,1.85,70.06,47.38,176.29,60.6,21.45,Bitter Gourd
5.71,2.34,76.38,52.04,144.88,69.82,27.73,Bitter Gourd
5.84,2.31,89.03,57.13,152.71,69.29,28.91,Bitter Gourd
6.15,2.2,80.99,50.45,132.87,78.62,28.92,Bitter Gourd
5.69,2.01,80.85,42.37,130.02,65.69,21.51,Bitter Gourd
5.88,2.26,54.9,59.55,156.11,69.48,26.3,Bitter Gourd
6.31,1.83,65.04,46.66,140.22,68.98,25.4,Bitter Gourd
5.83,2.14,88.97,49.81,128.54,78.72,25.32,Bitter Gourd
6.01,1.9,77.81,53.21,121.82,68.35,25.32,Bitter Gourd
5.6,1.77,79.51,47.23,160.26,74.49,21.41,Bitter Gourd
5.85,1.79,71.04,31.94,144.63,78.41,26.9,Bitter Gourd
5.61,1.87,68.68,46.0,168.51,76.78,28.99,Bitter Gourd
6.33,2.24,61.43,56.23,165.23,77.47,24.54,Bitter Gourd
5.87,2.11,60.28,39.96,146.81,76.63,22.51,Bitter Gourd
6.14,2.06,69.04,31.33,129.95,69.94,22.45,Bitter Gourd
5.98,2.44,77.44,45.05,172.96,64.03,20.55,Bitter Gourd
5.95,2.38,50.0,49.51,159.24,69.99,23.81,Bitter Gourd
5.62,2.37,53.34,40.84,163.31,63.49,26.3,Bitter Gourd
5.94,2.07,62.08,43.98,120.66,69.92,28.59,Bitter Gourd
5.55,2.27,52.68,53.25,176.46,76.84,26.04,Bitter Gourd
6.01,2.45,82.06,43.45,167.82,74.97,29.03,Bitter Gourd
6.01,2.47,53.76,49.38,154.85,72.68,27.14,Bitter Gourd
6.03,2.01,59.43,34.1,165.4,74.23,26.36,Bitter Gourd
6.36,2.15,54.11,46.61,127.76,78.64,25.73,Bitter Gourd
6.37,2.35,88.69,44.0,169.31,73.3,27.19,Bitter Gourd
6.23,2.49,80.94,57.67,126.09,79.32,24.08,Bitter Gourd
6.48,1.82,78.22,53.3,170.0,71.85,28.53,Bitter Gourd
5.65,1.67,65.14,35.67,138.82,63.59,20.13,Bitter Gourd
5.71,1.92,68.43,30.77,173.57,62.56,20.17,Bitter Gourd
6.35,2.5,73.07,57.1,139.42,71.49,24.27,Bitter Gourd
6.03,2.39,57.77,58.39,164.43,66.85,28.67,Bitter Gourd
6.14,1.57,86.43,57.72,171.22,70.45,25.04,Bitter Gourd
6.03,2.05,85.37,59.76,158.45,66.84,24.49,Bitter Gourd
6.2,1.61,77.26,57.81,163.65,73.02,22.78,Bitter Gourd
6.07,2.26,54.05,42.17,135.35,63.76,28.14,Bitter Gourd
6.15,1.51,56.28,44.56,170.95,77.02,29.57,Bitter Gourd
5.82,2.31,63.6,58.12,121.09,78.41,25.37,Bitter Gourd
6.2,2.24,79.84,40.58,149.8,67.96,23.13,Bitter Gourd
6.3,1.94,75.76,40.04,178.91,61.98,21.04,Bitter Gourd
5.76,2.13,63.3,40.48,131.29,72.73,25.85,Bitter Gourd
6.12,2.28,58.69,57.83,168.13,63.12,22.41,Bitter Gourd
6.31,1.72,71.04,33.59,151.67,64.98,23.49,Bitter Gourd
5.97,1.56,56.29,52.75,131.14,69.42,26.77,Bitter Gourd
5.66,2.33,59.69,31.39,141.08,62.73,28.23,Bitter Gourd
5.91,1.54,58.89,30.23,134.99,78.14,26.43,Bitter Gourd
5.93,1.73,72.54,50.93,164.5,74.75,23.89,Bitter Gourd
6.07,1.68,64.66,32.53,153.6,62.45,22.5,Bitter Gourd
6.34,2.39,72.03,55.08,153.34,71.27,27.63,Bitter Gourd
5.82,1.72,76.46,59.86,143.53,70.5,26.81,Bitter Gourd
5.99,2.33,67.69,52.0,150.9,61.0,27.86,Bitter Gourd
6.47,2.44,85.14,40.36,120.25,67.03,25.48,Bitter Gourd
6.24,1.58,79.48,54.73,159.25,65.6,24.64,Bitter Gourd
5.54,2.28,71.61,34.68,154.94,61.17,24.19,Bitter Gourd
6.3,1.57,53.98,33.01,165.92,63.55,24.54,Bitter Gourd
6.1,2.32,62.96,52.35,174.2,73.31,26.32,Bitter Gourd
5.64,1.54,69.23,53.05,173.48,72.85,22.64,Bitter Gourd
6.49,2.16,74.47,55.72,140.36,76.07,22.14,Bitter Gourd
5.73,2.44,73.8,32.99,174.51,70.25,21.69,Bitter Gourd
6.1,2.29,76.72,47.43,160.56,71.1,23.08,Bitter Gourd
5.7,1.79,65.16,33.4,172.33,79.66,25.95,Bitter Gourd
5.86,2.32,76.8,57.07,126.98,60.76,29.41,Bitter Gourd
5.72,1.55,59.23,43.98,154.39,64.3,20.91,Bitter Gourd
5.72,1.53,87.18,36.48,124.36,79.35,25.71,Bitter Gourd
5.93,2.44,50.45,38.74,169.21,62.65,20.3,Bitter Gourd
6.11,2.09,58.23,49.02,177.14,70.16,25.86,Bitter Gourd
6.35,1.93,54.78,51.82,176.57,65.7,24.41,Bitter Gourd
5.52,1.95,54.58,35.05,156.84,74.5,20.24,Bitter Gourd
6.09,2.07,64.26,38.24,145.75,77.54,28.24,Bitter Gourd
5.89,2.3,75.07,44.94,168.07,65.15,26.63,Bitter Gourd
6.25,2.48,81.32,32.18,141.85,77.46,25.58,Bitter Gourd
6.1,1.73,82.1,52.3,174.25,65.5,24.69,Bitter Gourd
6.47,1.65,77.31,36.54,159.0,65.05,28.22,Bitter Gourd
5.69,1.75,62.94,35.32,158.54,77.36,20.15,Bitter Gourd
5.93,2.35,58.52,30.0,167.21,63.92,21.16,Bitter Gourd
6.33,2.42,65.75,32.79,171.58,74.91,22.15,Bitter Gourd
5.54,1.96,64.14,51.1,164.52,74.06,28.73,Bitter Gourd
5.66,2.07,62.99,32.91,179.33,77.06,25.42,Bitter Gourd
6.35,1.97,78.78,53.14,141.4,75.72,29.63,Bitter Gourd
5.51,1.89,89.24,50.94,165.5,77.47,25.54,Bitter Gourd
5.84,2.41,66.46,39.55,167.28,74.62,24.52,Bitter Gourd
5.62,2.44,83.53,41.3,150.27,64.18,28.18,Bitter Gourd
6.11,2.24,56.58,44.46,176.09,72.96,23.65,Bitter Gourd
6.21,2.04,74.42,48.85,137.8,60.47,27.46,Bitter Gourd
6.46,2.37,83.93,36.72,151.65,68.14,20.02,Bitter Gourd
6.0,2.12,62.22,34.83,158.23,72.15,28.44,Bitter Gourd
5.78,2.04,59.91,31.97,161.0,66.07,25.88,Bitter Gourd
5.76,1.98,68.64,40.62,171.82,68.51,22.28,Bitter Gourd
5.86,2.33,62.95,59.45,149.11,74.22,23.89,Bitter Gourd
5.77,1.83,67.06,41.71,131.71,72.5,21.47,Bitter Gourd
5.75,2.46,62.78,52.18,170.37,64.01,21.44,Bitter Gourd
5.92,2.49,80.99,51.63,159.29,69.93,29.59,Bitter Gourd
5.6,1.89,81.1,35.68,166.32,67.91,22.55,Bitter Gourd
5.59,1.56,79.1,32.85,136.49,70.07,24.25,Bitter Gourd
6.13,1.94,69.88,55.44,177.55,60.26,22.1,Bitter Gourd
6.07,1.96,53.46,38.84,171.64,71.97,22.57,Bitter Gourd
6.11,2.18,72.85,39.08,166.1,78.96,20.03,Bitter Gourd
5.79,2.26,70.18,35.6,176.66,68.44,23.95,Bitter Gourd
5.95,2.23,69.22,39.2,134.44,69.9,29.28,Bitter Gourd
6.25,2.15,86.53,54.54,172.73,60.58,20.47,Bitter Gourd
5.98,1.9,78.89,31.15,179.87,77.94,28.26,Bitter Gourd
